,CardVariant,Cashback
112,Air India SBI Platinum Credit Card,"Get 2 Reward points for every Rs. 100 spent
Get upto 15,000 bonus Reward points annually
Convert your Reward points into Air India miles. 1 Reward point is equal to 1 Air India Air mile
Earn upto 15 Reward Points for every Rs. 100 spent on Air India tickets booked through airindia.com, airindia mobile app.
15 Reward Points when booked for self and 5 Reward Points when booked for others"
113,Mumbai Metro SBI Card,"10 Reward Points per per Rs. 100 spent on Auto top up
10 Reward Points per Rs 100 spent on Dining, Movies, Grocery and Departmental stores (Up to 5000 Reward Points per month)
1 Reward Point per Rs 100 spent on other categories.
Cumulative 10X Reward Points accrued per Rs. 100 spent on Dining, Movies, Grocery and Departmental stores for your Mumbai Metro SBI Card will have a maximum cap of 5,000 Reward Points per month. After the cap limit of 5,000 Reward points is achieved, 1 Reward Point for every Rs. 100 spent, as per the card policy, will continue to accrue.
Cumulative 10X Reward Points accrued per Rs. 100 spent on Auto Top-up for your Mumbai Metro SBI Card will have a maximum cap of 5,000 Reward Points per month. After the cap limit of 5,000 Reward points is achieved, 1 Reward Point for every Rs. 100 spent, as per the card policy, will continue to accrue."
114,Delhi Metro SBI Card,"10 Reward Points per Rs 100 spent on Dining, Movies, Grocery, Departmental stores and Standing instruction for utility bill payments (Up to 5000 Reward Points per month). 1 Reward Point per Rs 100 spent on other categories."
115,IRCTC SBI Platinum Card,"Buy tickets through irctc.co.in & IRCTC Mobile App (for Android only) for AC1, AC2, AC3 and AC CC and earn up to 10% Value Back as Reward Points
Get 1 Reward point for every Rs. 125 spent on non-fuel retail purchases, including railway ticket purchases at www.irctc.co.in and IRCTC Mobile App (Android only)
Save 1% transaction charges on railway ticket bookings on www.irctc.co.in"
116,UCO Bank SBI Card ELITE,"Get 5X Reward Points on Dining, Departmental stores and Grocery Spends. Earn 2 Reward Points per Rs. 100 on all other spends, except fuel"
117,UCO Bank SBI Card PRIME,"
Get 20 Reward Points per Rs.100 spent on standing instructions of Utility Bills payments
Get 10 Reward Points per Rs.100 spent on Dining, Groceries, Departmental stores and Movies
Enjoy 20 Reward Points per Rs. 100  spent on your birthday"
118,UCO Bank SimplySAVE SBI Card,"Spend Rs. 2,000 or more in first 60 days and get 2,000 bonus Reward Points
Enjoy 10 Reward Points per Rs 150 spent on Dining, Movies, Departmental Stores and Grocery Spends
Earn 1 Reward Point per Rs 150 spent on all your other spends (4 Reward Points = Rs. 1)"
119,Central Bank of India SBI Card Elite,"Get 5X Reward Points on Dining, Departmental stores and Grocery Spends. Earn 2 Reward Points per Rs. 100 on all other spends, except fuel"
120,Central Bank of India SBI Card Prime,"Get 20 Reward Points per Rs. 100 spent on standing instructions of Utility Bills payments
Get 10 Reward Points per Rs.100 spent on Dining, Groceries, Departmental stores and Movies
Enjoy 20 Reward Points per Rs. 100  spent on your birthday"
121,Central Bank Of India SimplySave SBI Card,"Spend 2,000 or more in first 60 days and get 2,000 bonus Reward Points
Enjoy 10 Reward Points per Rs 150 spent on Dining, Movies, Departmental Stores and Grocery Spends
On all your other spends, earn 1 Reward Point per Rs150 spent
(4 Reward Points = 1)"
122,City Union Bank SBI Card PRIME,"Get 20 Reward Points per Rs. 100 spent on standing instructions of Utility Bills payments
Get 10 Reward Points per Rs.100 spent on Dining, Groceries, Departmental stores and Movies
Enjoy 20 Reward Points per Rs. 100  spent on your birthday"
123,City Union Bank SimplySAVE SBI Card,"Spend Rs. 2,000 or more in first 60 days and get 2,000 bonus Reward Points
Enjoy 10 Reward Points per Rs 150 spent on Dining, Movies, Departmental Stores and Grocery Spends
Earn 1 Reward Point per Rs 150 spent on all your other spends (4 Reward Points = Rs. 1)"
124,Allahabad Bank SBI Card ELITE,"Get 5X Reward Points on Dining, Departmental stores and Grocery Spends. Earn 2 Reward Points per Rs. 100 on all other spends, except fuel"
125,Allahabad Bank SBI Card PRIME,"Get 20 Reward Points per Rs. 100 spent on standing instructions of Utility Bills payments
Get 10 Reward Points per Rs.100 spent on Dining, Groceries, Departmental stores and Movies
Enjoy 20 Reward Points per Rs. 100  spent on your birthday"
126,Allahabad Bank SimplySAVE SBI Card,"Spend 2,000 or more in first 60 days and get 2,000 bonus Reward Points
Enjoy 10 Reward Points per Rs 150 spent on Dining, Movies, Departmental Stores and Grocery Spends
On all your other spends, earn 1 Reward Point per Rs150 spent
(4 Reward Points = 1)"
127,Karnataka Bank SBI Card PRIME,"Get 20 Reward Points per Rs.100 spent on standing instructions of Utility Bills payments
Get 10 Reward Points per Rs.100 spent on Dining, Groceries, Departmental stores and Movies
Enjoy 20 Reward Points per Rs. 100  spent on your birthday"
128,Karnataka Bank SBI SimplySAVE Credit Card,Earn 1 reward point for every Rs. 150 spent. Get up to 2.5% value back on all departmental store and grocery purchases
129,South Indian Bank SBI Platinum Credit Card,"Earn 2 reward points for every Rs. 100 spent on all other categories
Get spend rewards on annual spending of Rs. 4 lakhs and 5 lakhs, each
e- Gift Voucher worth Rs. 3,000 from any of the following brands: Yatra ,Hush Puppies/Bata, Westside, Shoppers Stop"
130,South Indian Bank SimplySAVE SBI Card,Earn 1 reward point for every Rs. 150 spent.Get up to 2.5% value back on all departmental store and grocery purchases
131,KVB SBI Signature Card,"Earn 10,000 bonus Reward Points on achieving annual spends of Rs. 2 lakhs, 3 lakhs and 4 lakhs
Earn 20,000 bonus Reward Points on crossing annual spends of Rs. 5 lakhs
Get 5x reward points on all dining, departmental stores and grocery spends
Earn 2 reward points for every Rs. 100 spent on all other categories"
132, Karur Vysya Bank - SBI Platinum Credit Card,"Earn 2 Reward points for every Rs. 100 spent on all other categories
Get spend rewards on annual spending of Rs. 4 lakhs and 5 lakhs, each
e- Gift Voucher worth Rs. 3,000 from any of the following brands: Yatra ,Hush Puppies/Bata, Westside, Shoppers Stop"
133,Karur Vysya Bank - SBI Card,"Enjoy up to 2.5% value back, as you get 10X Reward Points per Rs. 150 spent at all Departmental and Grocery stores
On all your other spends earn 1 Reward point per Rs. 150 spent.
(4 Reward points = Rs. 1)"
134,Bank of Maharashtra - SBI Platinum Credit Card,"Earn 2 Reward points for every Rs. 100 spent on all other categories
Get spend rewards on annual spending of Rs. 4 lakhs and 5 lakhs, each
e- Gift Voucher worth Rs. 3,000 from any of the following brands: Yatra ,Hush Puppies/Bata, Westside, Shoppers Stop"
135,Bank of Maharashtra - SBI Card,"Enjoy up to 2.5% value back, as you get 10X Reward Points per Rs. 150 spent at all Departmental and Grocery stores
On all your other spends earn 1 Reward point per Rs. 150 spent.
(4 Reward points = Rs. 1)"
136,SBI PRIME Business Credit Card,"Get 10 Reward Points per Rs.100 spent on Dining, Utility Bills payments and Office supplies
Earn 2 Reward Points per Rs. 100 on all other retail spends except fuel
Earn 10 reward points (5X) per INR 100 on all spends at Metro Cash & Carry stores.
Complimentary privileges through Bandhan- Loyalty program of Metro Cash & Carry*
Get INR 750 off on Flight bookings above INR 6000, once in a quarter.
Get 20% off on Hotel bookings, once in a quarter.
Enjoy up  to 4 complimentary Green fees access per year and 1 complimentary Golf coaching/lesson per month at select Golf Courses in India
Enjoy up to 15% discount on best available room rates and up to 15% discount on F&B at Lalit Hotels
Enjoy 25% flat discount on all bookings at Sarovar Hotels
Get up to 20% off on Hotels and Homestays at travelguru.com
Get up to  15% off on text classified and display classified at Bookmyad.com
Flat 30% off on Printvenue"
137,SBI ELITE Business Credit Card,"Get 5X Reward Points on Dining, Utility Bills payments and Office supplies
Earn 2 Reward Points per Rs. 100 on all other spends except fuel
Get INR 750 off on Flight bookings above INR 6000, once in a quarter.
Get 20% off on Hotel bookings, once in a quarter.
Earn 10 reward points (5X) per INR 100 on all spends at Metro Cash & Carry stores.
Complimentary privileges through Bandhan- Loyalty program of Metro Cash & Carry*
Enjoy up  to 4 complimentary Green fees access per year and 1 complimentary Golf coaching/lesson per month at select Golf Courses in India
Enjoy up to 15% discount on best available room rates and up to 15% discount on F&B at Lalit Hotels
Enjoy 25% flat discount on all bookings at Sarovar Hotels
Get up to 20% off on Hotels and Homestays at travelguru.com
Get up to  15% off on text classified and display classified at Bookmyad.com
Flat 30% off on Printvenue"
